cartesian ,2,5,add,4,1,TRUE,cartesian ,6,6,basic add positive x y and positive x y
cartesian ,4,7,setZero,,,,cartesian ,0,0,basic zero
cartesian ,-5,-6,setZero,,,,cartesian ,0,0,basic zero
cartesian ,0,0,setZero,,,,cartesian ,0,0,basic zero
cartesian ,0,7,setZero,,,,cartesian ,0,0,basic zero
cartesian ,4,0,setZero,,,,cartesian ,0,0,basic zero
cartesian ,3,0,setAngle,1.570796326,,,cartesian ,0,3,basic setangle
cartesian ,0,5,setAngle,3.141592,,,cartesian ,-5,0,basic setangle
cartesian ,3,4,setAngle,-1.570796326,,,cartesian ,0,-5,basic setangle
cartesian ,4,5,setComponents,3,6,,cartesian ,3,6,basic setcomps
cartesian ,0,0,setComponents,0,0,,cartesian ,0,0,basic setcomps
cartesian ,4,5,setComponents,0,0,,cartesian ,0,0,basic setcomps
cartesian ,0,0,setComponents,3,6,,cartesian ,3,6,basic setcomps
cartesian ,2.493959207,3.12732593,getAngle,,,0.898,cartesian ,2.493959207,3.12732593,basic getAngle
cartesian ,0,1,getAngle,,,1.571,cartesian ,0,1,basic getAngle
cartesian ,0,-1,getAngle,,,-1.571,cartesian ,0,-1,basic getAngle
cartesian ,0,0,getAngle,,,0,cartesian ,0,0,basic getAngle
cartesian ,1.711840849,0.824379104,limit,0,1,TRUE,cartesian ,0.900968868,0.433883739,basic limit
cartesian ,3,4,limit,10,15,TRUE,cartesian ,6,8,basic limit
cartesian ,3,4,limit,5,5,TRUE,cartesian ,3,4,basic limit
cartesian ,1,0,perpendicular,,,,cartesian ,0,1,basic perpendicular
cartesian ,-1,0,perpendicular,,,,cartesian ,0,-1,basic perpendicular
cartesian ,0,1,perpendicular,,,,cartesian ,-1,0,basic perpendicular
cartesian ,0,-1,perpendicular,,,,cartesian ,1,0,basic perpendicular
cartesian ,1,2,dotProduct,3,4,11,cartesian ,1,2,basic dotProduct
